age,spp,condition,location,flow_reduction
0,euc,opt,west_d,0.163855421686747
1,euc,opt,west_d,0.0578313253012048
2,euc,opt,west_d,0.286746987951807
3,euc,opt,west_d,0.742168674698795
4,euc,opt,west_d,0.801204819277109
5,euc,opt,west_d,0.639759036144578
6,euc,opt,west_d,0.868674698795181
7,euc,opt,west_d,0.928915662650602
8,euc,opt,west_d,0.9999
9,euc,opt,west_d,0.9999
10,euc,opt,west_d,0.9999
11,euc,opt,west_d,0.9999
12,euc,opt,west_d,0.9999
0,pin,sub,lamb_b,0.0804878048780488
1,pin,sub,lamb_b,1e-4
2,pin,sub,lamb_b,0.0585365853658537
3,pin,sub,lamb_b,1e-4
4,pin,sub,lamb_b,0.0426829268292683
5,pin,sub,lamb_b,0.191463414634146
6,pin,sub,lamb_b,0.203658536585366
7,pin,sub,lamb_b,0.176829268292683
8,pin,sub,lamb_b,0.431707317073171
9,pin,sub,lamb_b,0.498780487804878
10,pin,sub,lamb_b,0.553658536585366
11,pin,sub,lamb_b,0.354878048780488
12,pin,sub,lamb_b,0.440243902439024
13,pin,sub,lamb_b,0.310975609756098
14,pin,sub,lamb_b,0.536585365853659
15,pin,sub,lamb_b,0.759756097560976
16,pin,sub,lamb_b,0.75
17,pin,sub,lamb_b,0.757317073170732
18,pin,sub,lamb_b,0.846341463414634
19,pin,sub,lamb_b,0.703658536585366
0,pin,sub,cat_3,1e-4
1,pin,sub,cat_3,1e-4
2,pin,sub,cat_3,1e-4
3,pin,sub,cat_3,1e-4
4,pin,sub,cat_3,1e-4
5,pin,sub,cat_3,1e-4
6,pin,sub,cat_3,1e-4
7,pin,sub,cat_3,1e-4
8,pin,sub,cat_3,0.133720930232558
9,pin,sub,cat_3,0.344186046511628
10,pin,sub,cat_3,0.262790697674419
11,pin,sub,cat_3,0.417441860465116
12,pin,sub,cat_3,0.62906976744186
13,pin,sub,cat_3,0.496511627906977
14,pin,sub,cat_3,0.57093023255814
15,pin,sub,cat_3,0.288372093023256
16,pin,sub,cat_3,0.413953488372093
17,pin,sub,cat_3,0.395348837209302
18,pin,sub,cat_3,0.696511627906977
19,pin,sub,cat_3,0.533720930232558
20,pin,sub,cat_3,0.644186046511628
21,pin,sub,cat_3,0.825581395348837
22,pin,sub,cat_3,0.518604651162791
0,euc,opt,moko_a,1e-4
1,euc,opt,moko_a,1e-4
2,euc,opt,moko_a,0.175257731958763
3,euc,opt,moko_a,0.417525773195876
4,euc,opt,moko_a,0.823711340206186
5,euc,opt,moko_a,0.84020618556701
6,euc,opt,moko_a,0.968041237113402
7,euc,opt,moko_a,0.911340206185567
8,euc,opt,moko_a,0.9999
9,euc,opt,moko_a,0.9999
10,euc,opt,moko_a,0.9999
11,euc,opt,moko_a,0.9999
12,euc,opt,moko_a,0.9999
13,euc,opt,moko_a,0.9999
14,euc,opt,moko_a,0.9999
15,euc,opt,moko_a,0.9999
16,euc,opt,moko_a,0.9999
17,euc,opt,moko_a,0.9999
18,euc,opt,moko_a,0.9999
19,euc,opt,moko_a,0.9999
20,euc,opt,moko_a,0.9999
0,pin,opt,moko_b,0.0136842105263158
1,pin,opt,moko_b,1e-4
2,pin,opt,moko_b,0.0105263157894737
3,pin,opt,moko_b,1e-4
4,pin,opt,moko_b,0.338947368421053
5,pin,opt,moko_b,0.272631578947368
6,pin,opt,moko_b,0.550526315789474
7,pin,opt,moko_b,0.457894736842105
8,pin,opt,moko_b,0.723157894736842
9,pin,opt,moko_b,0.836842105263158
10,pin,opt,moko_b,0.792631578947368
11,pin,opt,moko_b,0.926315789473684
12,pin,opt,moko_b,0.9999
13,pin,opt,moko_b,0.9999
14,pin,opt,moko_b,0.9999
15,pin,opt,moko_b,0.9999
16,pin,opt,moko_b,0.9999
17,pin,opt,moko_b,0.9999
